,Compound,Negative,Neutral,Positive,Tweet Order,Tweet Text,Tweet Time,User
0,-0.8074,0.356,0.644,0.0,100,"Follow some of the debt counsellors working for Christians Against Poverty.

The Debt Saviours | 9pm | @BBCTwo |… https://t.co/t0c5uwl4jk",Fri Oct 05 19:04:05 +0000 2018,@BBC
1,0.0,0.0,1.0,0.0,99,💪🐔 Check out these miniature chicken bodybuilders. https://t.co/rfRrfZMVkM,Fri Oct 05 18:08:03 +0000 2018,@BBC
2,0.0,0.0,1.0,0.0,98,John Humphrys presents the first heat of the series as the hunt for the nation's Mastermind gets back underway.… https://t.co/hQdf779Yeo,Fri Oct 05 17:03:08 +0000 2018,@BBC
3,0.0,0.0,1.0,0.0,97,FACT: Britons can only let go emotionally when a barmaid breaks some glasses... 😂 #TheMashReport https://t.co/Hk2tqQv8WR,Fri Oct 05 16:05:04 +0000 2018,@BBC
4,0.3612,0.0,0.872,0.128,96,"RT @1Xtra: .@RayBLK_'s #LiveLounge cover of 'A Natural Woman' for #BackHistoryMonth was just incredible.  

Full video 👉🏿 https://t.co/6TNL…",Fri Oct 05 15:32:37 +0000 2018,@BBC
5,0.7717,0.0,0.642,0.358,95,"RT @BBCWales: 😂 Best global marketing campaign ever? 

🆕 #FestivalofFunny comedy: #TouristTrap 
⭐️ @MikeBubbins, @MariBarf, @SallyEPhillips…",Fri Oct 05 14:06:12 +0000 2018,@BBC
6,0.3612,0.0,0.889,0.111,94,"RT @BBCWales: The new tourism head honcho for Wales gets hands on as she learns all about making love...spoons. 😆

🆕 Comedy: #TouristTrap…",Fri Oct 05 14:06:04 +0000 2018,@BBC
7,0.0,0.0,1.0,0.0,93,"RT @BBCWales: 😮WE JUST DROPPED ALL OF #TOURISTTRAP ON @BBCIPLAYER. 

✨WATCH EVERY EPISODE HERE 👉 https://t.co/kOmZRWZt8D

👍HAPPY FRIDAY! #F…",Fri Oct 05 13:55:03 +0000 2018,@BBC
8,-0.1027,0.091,0.909,0.0,92,"'I hid my baby from social services in case they took it away.'
👉 https://t.co/GzIQQwypFT https://t.co/2m4sqlGogP",Fri Oct 05 13:02:07 +0000 2018,@BBC
9,0.1779,0.131,0.657,0.211,91,"Raoul the turtle had a lucky escape after getting tangled in plastic waste. 🐢

#Mediterranean with @simon_reeve sta… https://t.co/naQPqpDwpy",Fri Oct 05 12:33:00 +0000 2018,@BBC
10,0.0,0.0,1.0,0.0,90,"🐬 This woman taught a dolphin to speak English. 

🔈 Sound up for this one…  https://t.co/wck12UVoRr",Fri Oct 05 12:03:07 +0000 2018,@BBC
11,0.8555,0.0,0.669,0.331,89,"Why does everybody love moth memes?

It's the one-sided love story that we can all relate to...
👉… https://t.co/55Oz8ULaX3",Fri Oct 05 11:03:05 +0000 2018,@BBC
12,0.743,0.0,0.674,0.326,88,"RT @BBCTwo: We literally can't get enough of @donaldglover's amazing smile. 😁😁 #Atlanta #WorldSmileDay
https://t.co/ovzKcY0pKg",Fri Oct 05 10:00:25 +0000 2018,@BBC
13,0.3818,0.22,0.478,0.303,87,"The Nobel Peace Prize has been awarded to campaigners against rape in warfare Nadia Murad and Denis Mukwege. 
👉… https://t.co/getpPN0hD9",Fri Oct 05 09:32:19 +0000 2018,@BBC
14,0.7414,0.0,0.77,0.23,86,RT @BBC_Teach: It’s #WorldTeachersDay 👩🏫 so to celebrate we're inviting you to upload a video of yourself singing &amp; dancing along to one of…,Fri Oct 05 09:27:55 +0000 2018,@BBC
15,-0.6705,0.2,0.8,0.0,85,"The quest for extreme selfies killed 259 people between 2011 and 2017, a 2018 global study has revealed.
👉… https://t.co/uojB5RWAf2",Fri Oct 05 09:08:05 +0000 2018,@BBC
16,0.5994,0.0,0.804,0.196,84,👩🏾‍🎨🎨🖼 This artist on a mission to change how black women are illustrated with her beautiful designs. https://t.co/OiKhaT5joi,Fri Oct 05 08:00:11 +0000 2018,@BBC
17,0.5719,0.0,0.719,0.281,83,"From dream job to reality: How do career dreams really work out?
👉 https://t.co/jXwJd5MzSu https://t.co/cf8HHuYtyi",Fri Oct 05 07:08:05 +0000 2018,@BBC
18,0.0,0.0,1.0,0.0,82,"These urban corals are thriving against all odds in Miami.

#OurBluePlanet w/ @oceanx + @coralmorph https://t.co/zjeBH83ZM7",Fri Oct 05 06:11:03 +0000 2018,@BBC
19,0.0,0.0,1.0,0.0,81,"🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they… https://t.co/SSFjTKFAjU",Thu Oct 04 20:06:04 +0000 2018,@BBC
20,-0.5209,0.227,0.673,0.101,80,"Could the power of fake pills be used to treat some of our most common medical complaints? 💊

#Horizon The Placebo… https://t.co/R3YMojVEYu",Thu Oct 04 19:01:08 +0000 2018,@BBC
21,0.0,0.0,1.0,0.0,79,"This is how homophobia feels in 2018. 
#NationalPoetryDay https://t.co/Dk2F3dDLPl",Thu Oct 04 18:01:09 +0000 2018,@BBC
22,-0.6124,0.26,0.64,0.1,78,"🥓 Regularly eating foods like bacon and sausages may raise the risk of breast cancer, according to researchers.
👉… https://t.co/drh72r7tDj",Thu Oct 04 17:11:06 +0000 2018,@BBC
23,0.4215,0.0,0.714,0.286,77,"Maya Angelou: prolific, powerful, and a polymath. 
#BlackHistoryMonth https://t.co/99z0ppyKYK",Thu Oct 04 16:03:07 +0000 2018,@BBC
24,-0.4588,0.242,0.67,0.088,76,"RT @BBCWales: Forget the lies and the myths about growing up on an estate. 

#NationalPoetryDay

https://t.co/HPKwfqx7bq",Thu Oct 04 15:29:47 +0000 2018,@BBC
25,0.0,0.0,1.0,0.0,75,"How did Shakespeare invent all those clichés? And how can he be stopped?! 🤔
#NationalPoetryDay  https://t.co/sCmnhZiv4G",Thu Oct 04 14:01:23 +0000 2018,@BBC
26,0.1531,0.0,0.849,0.151,74,"🌡🌍 What does 1.5C mean in a warming world?
👉 https://t.co/XzjY5M8oNl https://t.co/kMLXVnvjxm",Thu Oct 04 13:03:03 +0000 2018,@BBC
27,-0.25,0.357,0.429,0.214,73,Are you feeling lonely? https://t.co/HxqBp6oh17,Thu Oct 04 12:02:05 +0000 2018,@BBC
28,0.4404,0.0,0.813,0.187,72,"RT @BBCEarth: This #WorldAnimalDay, we’re giving you an exclusive first look at David Attenborough’s new series.

#Dynasties - Coming soon…",Thu Oct 04 11:28:10 +0000 2018,@BBC
29,0.0,0.0,1.0,0.0,71,"Ever heard a beatboxing starling? 🔊🔊
#WorldAnimalDay https://t.co/N758EN4j3s",Thu Oct 04 11:13:01 +0000 2018,@BBC
30,0.1759,0.206,0.546,0.248,70,"The pika might just be the world's cutest thief! 
#WorldAnimalDay https://t.co/v8dSKoVYgD",Thu Oct 04 10:45:47 +0000 2018,@BBC
31,0.0,0.0,1.0,0.0,69,Could this squat be a moment that sparks change? https://t.co/GFXOeWufHl,Thu Oct 04 10:26:38 +0000 2018,@BBC
32,0.4939,0.0,0.775,0.225,68,"🐬 A dolphin with a prosthetic tail inspired Ellie’s Paralympic journey.

#OurBluePlanet w/ @oceanx https://t.co/WtUfOh4W2Z",Thu Oct 04 08:00:04 +0000 2018,@BBC
33,-0.2263,0.239,0.516,0.245,67,"🥗 Eating a Mediterranean diet may help prevent depression, research suggests.
👉 https://t.co/FIpHPRQHqV https://t.co/tl4BbDsxUa",Thu Oct 04 07:03:02 +0000 2018,@BBC
34,-0.5994,0.231,0.769,0.0,66,"3 homeless people die every week in the UK.
Meanwhile in Finland...

(via @BBCThree) https://t.co/P4MYjbE4d1",Thu Oct 04 06:03:01 +0000 2018,@BBC
35,0.4939,0.0,0.819,0.181,65,"The search for Lord Sugar's next business partner begins, and this year the challenges are bigger and better than e… https://t.co/El1AyC5sXs",Wed Oct 03 19:04:04 +0000 2018,@BBC
36,0.0,0.0,1.0,0.0,64,🎧❤️ Dementia playlists are making such a big difference to these people.  https://t.co/ojVDVuP6to,Wed Oct 03 17:59:01 +0000 2018,@BBC
37,0.0,0.0,1.0,0.0,63,RT @BBCnireland: ✍ @BBCApprentice is back tonight on @BBCOne so here are some tips to get you hired! - https://t.co/gc5KSIFQf1 https://t.co…,Wed Oct 03 17:03:42 +0000 2018,@BBC
38,0.4404,0.0,0.861,0.139,62,❤️ Couples will soon be able to choose a civil partnership instead of a marriage thanks to Rebecca and Charles. https://t.co/nampxOV5ur,Wed Oct 03 16:55:01 +0000 2018,@BBC
39,0.0,0.0,1.0,0.0,61,🍜 The humble origins of an incredibly versatile food – the potted history of instant noodles. https://t.co/3RMBZ33zFY,Wed Oct 03 15:58:03 +0000 2018,@BBC
40,0.0,0.0,1.0,0.0,60,"🌙 'Leonardo da Vinci was the first recorded person to realise what a crescent moon was.'

Nine out of this world fa… https://t.co/cpzfOniwxA",Wed Oct 03 13:04:03 +0000 2018,@BBC
41,0.0343,0.159,0.675,0.166,59,"That time @RyanGosling was training to be an astronaut and DEFINITELY WASN'T (was) sick. 
#TheGNShow https://t.co/mf8dnizxAV",Wed Oct 03 11:57:04 +0000 2018,@BBC
